temperature_2_m_above_gnd,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,relative_humidity_2_m_above_gnd,total_cloud_cover_sfc,generated_power_kw
25,800,5,60,20,450
28,900,4,55,10,520
22,750,6,65,30,380
20,600,3,70,40,300
30,950,5,50,5,580
27,850,4,58,15,490
23,700,7,68,35,350
21,650,4,72,45,280
29,920,6,52,8,550
26,830,5,62,25,420
24,780,3,64,28,400
31,980,4,48,3,600
19,580,8,75,50,250
32,1000,5,45,0,620
18,550,9,78,55,220
33,950,6,47,5,580
20,620,7,73,48,270
28,880,4,56,12,510
22,720,5,66,32,360
25,800,6,61,22,440
